path,class,lesion_ratio,estimated_level,manual_grade
data/PlantVillage/raw/color\Grape___Black_rot\aebd67f2-eeb7-4330-8690-5cc18772e344___FAM_B.Rot 0737.JPG,Grape___Black_rot,0.1303,mild,
data/PlantVillage/raw/color\Tomato___Early_blight\1e08cf06-c20b-47bc-8773-a22cc730aa04___RS_Erly.B 8228.JPG,Tomato___Early_blight,0.5349,severe,
data/PlantVillage/raw/color\Grape___Black_rot\e4f1a701-09ae-4e97-ba92-f5a56862df4f___FAM_B.Rot 3509.JPG,Grape___Black_rot,0.0783,mild,
data/PlantVillage/raw/color\Tomato___Bacterial_spot\6dc57c16-e5f8-41c4-9188-83c8d60cf931___GCREC_Bact.Sp 3597.JPG,Tomato___Bacterial_spot,0.0364,healthy,
data/PlantVillage/raw/color\Strawberry___Leaf_scorch\e609db4a-77b0-4f0d-9a36-74b63fa785ab___RS_L.Scorch 1589.JPG,Strawberry___Leaf_scorch,0.4354,moderate,
"data/PlantVillage/raw/color\Pepper,_bell___Bacterial_spot\9f36da2c-ab51-4fff-b394-ad22b15508eb___JR_B.Spot 9032.JPG","Pepper,_bell___Bacterial_spot",0.2109,moderate,
data/PlantVillage/raw/color\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\94dbcd4e-5fc8-47d6-a944-dc0cc7c6ead5___RS_GLSp 4638 copy.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.5065,severe,
data/PlantVillage/raw/color\Tomato___Septoria_leaf_spot\d62872c2-d511-415e-aaf8-a18e0d8c6834___JR_Sept.L.S 2717.JPG,Tomato___Septoria_leaf_spot,0.1568,mild,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\4d9e2536-855e-4883-b954-824a1538ed79___UF.GRC_YLCV_Lab 02409.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.2170,moderate,
data/PlantVillage/raw/color\Grape___Leaf_blight_(Isariopsis_Leaf_Spot)\54a75837-c1f8-4c1b-be76-2935d6e2a1fa___FAM_L.Blight 1420.JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.1112,mild,
data/PlantVillage/raw/color\Tomato___Early_blight\074bc781-f586-46b0-bef5-0237e3bf5043___RS_Erly.B 8375.JPG,Tomato___Early_blight,0.2701,moderate,
data/PlantVillage/raw/color\Corn_(maize)___Northern_Leaf_Blight\e5e4cd23-60b4-4b94-bd47-31495d8e7263___RS_NLB 3514 copy.jpg,Corn_(maize)___Northern_Leaf_Blight,0.2412,moderate,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\7e25ef0a-7cec-45c2-bc3f-2429b82cafd6___YLCV_GCREC 1896.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0317,healthy,
data/PlantVillage/raw/color\Potato___Late_blight\84f666da-9e17-4e90-9813-0ed64da175d9___RS_LB 2536.JPG,Potato___Late_blight,0.5126,severe,
data/PlantVillage/raw/color\Tomato___Bacterial_spot\8491569f-a7d8-453c-86ae-c2accdc964c9___GCREC_Bact.Sp 5943.JPG,Tomato___Bacterial_spot,0.0341,healthy,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\cf3c8095-91ae-4f7f-9537-aac1674fda21___YLCV_GCREC 2104.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0577,mild,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\a7fd8958-d63e-4fae-964d-75d80d739c1f___CREC_HLB 6564.JPG,Orange___Haunglongbing_(Citrus_greening),0.1831,mild,
data/PlantVillage/raw/color\Corn_(maize)___Northern_Leaf_Blight\47f24ceb-34e8-4c13-acac-e48549bc7cfa___RS_NLB 3932 copy 2.jpg,Corn_(maize)___Northern_Leaf_Blight,0.3597,moderate,
data/PlantVillage/raw/color\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\d39aadb4-c3f8-45a0-a92c-913263278c29___RS_GLSp 4654.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.1062,mild,
data/PlantVillage/raw/color\Peach___Bacterial_spot\3bd94dcb-b7af-484e-8ec0-f992eb9bcccc___Rut._Bact.S 0846.JPG,Peach___Bacterial_spot,0.0242,healthy,
data/PlantVillage/raw/color\Potato___Late_blight\42b19bb3-68b6-4c46-a626-f7480718360a___RS_LB 4686.JPG,Potato___Late_blight,0.4198,moderate,
data/PlantVillage/raw/color\Corn_(maize)___Northern_Leaf_Blight\f3a574c8-043a-4804-bdba-addb50450720___RS_NLB 3553 copy.jpg,Corn_(maize)___Northern_Leaf_Blight,0.5246,severe,
data/PlantVillage/raw/color\Peach___Bacterial_spot\619237cc-ca9b-43fa-be38-5e2b29a5f98e___Rutg._Bact.S 1954.JPG,Peach___Bacterial_spot,0.8313,severe,
data/PlantVillage/raw/color\Grape___Esca_(Black_Measles)\1fa8564c-87f3-421d-aaf8-bfa276a29ab5___FAM_B.Msls 4166.JPG,Grape___Esca_(Black_Measles),0.1706,mild,
data/PlantVillage/raw/color\Tomato___Early_blight\21f9a0a5-b145-40e7-8884-df2bb52eb592___RS_Erly.B 7391.JPG,Tomato___Early_blight,0.0738,mild,
data/PlantVillage/raw/color\Potato___Early_blight\86562214-f8b9-4105-9513-4847520aff9a___RS_Early.B 7515.JPG,Potato___Early_blight,0.7886,severe,
data/PlantVillage/raw/color\Tomato___Septoria_leaf_spot\a0e8fa68-4958-44d8-8f53-a66927102422___Matt.S_CG 6592.JPG,Tomato___Septoria_leaf_spot,0.1414,mild,
data/PlantVillage/raw/color\Tomato___Bacterial_spot\9a3a8b0b-0587-402d-814d-c0201c4f9b5a___UF.GRC_BS_Lab Leaf 0687.JPG,Tomato___Bacterial_spot,0.4099,moderate,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\52ec4621-e082-46fa-8102-f1776a3243dd___UF.Citrus_HLB_Lab 0570.JPG,Orange___Haunglongbing_(Citrus_greening),0.0334,healthy,
data/PlantVillage/raw/color\Tomato___Bacterial_spot\c61c9a75-61bb-4f14-b5a5-501c6ca5bccc___GCREC_Bact.Sp 3795.JPG,Tomato___Bacterial_spot,0.4455,moderate,
data/PlantVillage/raw/color\Tomato___Bacterial_spot\502fb732-b98c-4472-9bf3-5a0c038492fc___UF.GRC_BS_Lab Leaf 8642.JPG,Tomato___Bacterial_spot,0.2428,moderate,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\e0e79271-2e26-47f2-a88d-4f222fbfeabe___UF.Citrus_HLB_Lab 0117.JPG,Orange___Haunglongbing_(Citrus_greening),0.0380,healthy,
"data/PlantVillage/raw/color\Pepper,_bell___Bacterial_spot\c91abd9b-94e4-401a-893d-a93956048f54___JR_B.Spot 3124.JPG","Pepper,_bell___Bacterial_spot",0.3246,moderate,
data/PlantVillage/raw/color\Corn_(maize)___Northern_Leaf_Blight\6880b763-1f12-4d80-9aa8-a2b8eecaed1a___RS_NLB 3543.JPG,Corn_(maize)___Northern_Leaf_Blight,0.2220,moderate,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\6ca44bd5-2e7f-4648-9612-f9a4359e6361___CREC_HLB 7135.JPG,Orange___Haunglongbing_(Citrus_greening),0.2520,moderate,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\47487db4-da7f-4104-9511-8ce9d1ced14e___UF.GRC_YLCV_Lab 03046.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0521,mild,
data/PlantVillage/raw/color\Peach___Bacterial_spot\b76c43c7-a0d3-43ca-b172-46cfbc192739___Rutg._Bact.S 2169.JPG,Peach___Bacterial_spot,0.1645,mild,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\552cc656-707d-4254-b463-56f6f3aebea5___CREC_HLB 6721.JPG,Orange___Haunglongbing_(Citrus_greening),0.1572,mild,
data/PlantVillage/raw/color\Tomato___Septoria_leaf_spot\f23076a1-b482-4370-91c4-6e722a44da8c___Matt.S_CG 7558.JPG,Tomato___Septoria_leaf_spot,0.2088,moderate,
data/PlantVillage/raw/color\Tomato___Early_blight\1742dfdd-c687-46ff-b958-34194feb68e4___RS_Erly.B 7453.JPG,Tomato___Early_blight,0.1694,mild,
"data/PlantVillage/raw/color\Pepper,_bell___Bacterial_spot\fa1c19f6-4e9e-4452-ad0d-99f65d5c9909___NREC_B.Spot 1960.JPG","Pepper,_bell___Bacterial_spot",0.2700,moderate,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\8c853612-7cee-406c-a240-2362194ee1ef___YLCV_GCREC 5377.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0092,healthy,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\ff41930a-9bec-4841-ba1a-321e15a761a3___UF.Citrus_HLB_Lab 1475.JPG,Orange___Haunglongbing_(Citrus_greening),0.0298,healthy,
data/PlantVillage/raw/color\Squash___Powdery_mildew\da251dc4-1c13-4e11-ac82-9c351e776bc6___MD_Powd.M 0013.JPG,Squash___Powdery_mildew,0.1773,mild,
data/PlantVillage/raw/color\Corn_(maize)___Common_rust_\RS_Rust 2145.JPG,Corn_(maize)___Common_rust_,0.5325,severe,
data/PlantVillage/raw/color\Peach___Bacterial_spot\4397ce0e-d91f-4f96-a4c2-0d45cbd256bc___Rutg._Bact.S 1246.JPG,Peach___Bacterial_spot,0.8157,severe,
data/PlantVillage/raw/color\Cherry_(including_sour)___Powdery_mildew\8ed6abab-561f-4d71-8803-2869614f4e85___FREC_Pwd.M 0585.JPG,Cherry_(including_sour)___Powdery_mildew,0.0236,healthy,
data/PlantVillage/raw/color\Squash___Powdery_mildew\8cdb2f1d-beb1-43e2-84f0-7d1ca8a5f6f5___MD_Powd.M 9943.JPG,Squash___Powdery_mildew,0.0886,mild,
data/PlantVillage/raw/color\Tomato___Late_blight\44133f33-9968-41b9-bf3b-61e94c8a6bfa___RS_Late.B 5076.JPG,Tomato___Late_blight,0.2794,moderate,
"data/PlantVillage/raw/color\Pepper,_bell___Bacterial_spot\d47bf701-9feb-46d5-a4e6-4cf58765898f___NREC_B.Spot 9136.JPG","Pepper,_bell___Bacterial_spot",0.1243,mild,
data/PlantVillage/raw/color\Corn_(maize)___Northern_Leaf_Blight\0c3300b6-e4ca-401c-b34b-a9bf3dfa0a57___RS_NLB 3572.JPG,Corn_(maize)___Northern_Leaf_Blight,0.1100,mild,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\e4e1b7b6-739d-4a38-b880-bac1e6c8ba16___CREC_HLB 4159.JPG,Orange___Haunglongbing_(Citrus_greening),0.2216,moderate,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\ae1c30b2-9563-4914-8ba8-b4bcb3da9d20___UF.GRC_YLCV_Lab 02019.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0984,mild,
data/PlantVillage/raw/color\Squash___Powdery_mildew\8520e743-5c2e-425f-8df2-7a22554e6116___UMD_Powd.M 9972.JPG,Squash___Powdery_mildew,0.0291,healthy,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\eab534a7-4d44-47f6-a694-77d6b3bd7f5c___CREC_HLB 5455.JPG,Orange___Haunglongbing_(Citrus_greening),0.3484,moderate,
data/PlantVillage/raw/color\Tomato___Target_Spot\7a154040-f4a1-4821-989c-d1904eaccf4d___Com.G_TgS_FL 8109.JPG,Tomato___Target_Spot,0.1637,mild,
data/PlantVillage/raw/color\Tomato___Late_blight\1159051e-1278-4b35-929c-e26b963d048f___GHLB_PS Leaf 8.1 Day 16.jpg,Tomato___Late_blight,0.4995,moderate,
data/PlantVillage/raw/color\Tomato___Septoria_leaf_spot\d235a8c8-d714-404b-8a07-05706d2dec29___JR_Sept.L.S 8536.JPG,Tomato___Septoria_leaf_spot,0.4574,moderate,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\1489aaa5-53aa-4825-9eb0-3c1a696a37ac___CREC_HLB 6739.JPG,Orange___Haunglongbing_(Citrus_greening),0.0235,healthy,
"data/PlantVillage/raw/color\Pepper,_bell___Bacterial_spot\a3fad4a2-1e15-4bfd-9293-56f57540b44f___JR_B.Spot 9018.JPG","Pepper,_bell___Bacterial_spot",0.2571,moderate,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\0b713a79-6927-4208-b1ae-3f347ed92a55___UF.Citrus_HLB_Lab 1714.JPG,Orange___Haunglongbing_(Citrus_greening),0.0099,healthy,
data/PlantVillage/raw/color\Peach___Bacterial_spot\c2f37482-489b-442e-bed8-54a3486a585f___Rutg._Bact.S 1605.JPG,Peach___Bacterial_spot,1.0000,severe,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\9b5f5c21-67da-4eb5-9625-567e22d15cbc___UF.GRC_YLCV_Lab 02254.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0495,healthy,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\56538c79-1b65-4ad7-97ac-5732cb43643e___YLCV_GCREC 2681.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0822,mild,
"data/PlantVillage/raw/color\Pepper,_bell___Bacterial_spot\7d2eeb0b-77d8-4de5-8739-adca95edd4a2___JR_B.Spot 8946.JPG","Pepper,_bell___Bacterial_spot",0.0460,healthy,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\e678d581-9909-40ab-b344-bca3f9e95e0d___UF.GRC_YLCV_Lab 03097.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0370,healthy,
data/PlantVillage/raw/color\Tomato___Leaf_Mold\70e4ee54-f85e-461b-a35b-e35deb567620___Crnl_L.Mold 6516.JPG,Tomato___Leaf_Mold,0.0411,healthy,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\e321a12f-3127-47f5-9f14-7388670a0599___YLCV_NREC 2677.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.4560,moderate,
data/PlantVillage/raw/color\Tomato___Late_blight\335be291-a0f7-4b25-aa7c-99af0b073dc9___GHLB2 Leaf 8640.JPG,Tomato___Late_blight,0.1952,mild,
data/PlantVillage/raw/color\Tomato___Bacterial_spot\877bc01d-0ab2-4a8f-bbd8-44646bdb84d7___UF.GRC_BS_Lab Leaf 0529.JPG,Tomato___Bacterial_spot,0.3273,moderate,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\fea8a751-5bf7-431e-9860-358e9b16a859___CREC_HLB 7511.JPG,Orange___Haunglongbing_(Citrus_greening),0.1013,mild,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\082992fa-822f-4ae0-87bb-2d34ad94d93e___CREC_HLB 5677.JPG,Orange___Haunglongbing_(Citrus_greening),0.9957,severe,
data/PlantVillage/raw/color\Tomato___Target_Spot\ee7d5b86-6015-4bea-b881-e2487eb85805___Com.G_TgS_FL 0041.JPG,Tomato___Target_Spot,0.0202,healthy,
data/PlantVillage/raw/color\Tomato___Target_Spot\326f1d4e-e38a-4b91-8e92-31e43484e787___Com.G_TgS_FL 8394.JPG,Tomato___Target_Spot,0.3257,moderate,
data/PlantVillage/raw/color\Grape___Black_rot\974b2e6d-631b-4eb7-afe2-52d527d1618c___FAM_B.Rot 0670.JPG,Grape___Black_rot,0.1946,mild,
data/PlantVillage/raw/color\Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\fe34beba-a661-4164-ace3-4660d8e39c4f___RS_GLSp 4499.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.4463,moderate,
data/PlantVillage/raw/color\Grape___Esca_(Black_Measles)\87e0af25-97f8-4065-9f31-661f57b894ce___FAM_B.Msls 4092.JPG,Grape___Esca_(Black_Measles),0.1456,mild,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\34a59579-f979-4d38-a509-8541e5cb2340___CREC_HLB 5630.JPG,Orange___Haunglongbing_(Citrus_greening),0.7193,severe,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\4b334e82-c9f9-4a00-bb47-bc8fe159f33d___CREC_HLB 5178.JPG,Orange___Haunglongbing_(Citrus_greening),1.0000,severe,
data/PlantVillage/raw/color\Tomato___Late_blight\fc0cec90-4a1e-4cdc-95cf-a34abc1dc8c9___GHLB2 Leaf 117.2.JPG,Tomato___Late_blight,0.7441,severe,
data/PlantVillage/raw/color\Tomato___Tomato_mosaic_virus\9c96bbe3-5599-4e31-996f-ae37d75872f5___PSU_CG 2215.JPG,Tomato___Tomato_mosaic_virus,0.0580,mild,
data/PlantVillage/raw/color\Corn_(maize)___Common_rust_\RS_Rust 2650.JPG,Corn_(maize)___Common_rust_,0.8106,severe,
data/PlantVillage/raw/color\Tomato___Early_blight\6797ee0c-20a8-4a39-ab57-f65eb9c57885___RS_Erly.B 7647.JPG,Tomato___Early_blight,0.1964,mild,
data/PlantVillage/raw/color\Tomato___Early_blight\366e550d-8604-44cd-b239-325d9e14a4f4___RS_Erly.B 6378.JPG,Tomato___Early_blight,0.2538,moderate,
data/PlantVillage/raw/color\Tomato___Tomato_mosaic_virus\86965ac5-b790-4218-a3c6-216d10da5211___PSU_CG 2066.JPG,Tomato___Tomato_mosaic_virus,0.0882,mild,
data/PlantVillage/raw/color\Tomato___Spider_mites Two-spotted_spider_mite\2a70c9e6-2c2f-4355-94fb-02afc8141be5___Com.G_SpM_FL 8877.JPG,Tomato___Spider_mites Two-spotted_spider_mite,0.5268,severe,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\37c875ff-bb1a-4efd-b65a-9e4aa6bed2a6___UF.GRC_YLCV_Lab 09463.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0239,healthy,
data/PlantVillage/raw/color\Peach___Bacterial_spot\e565cdd1-9488-4eaf-976b-a68c566087e8___Rut._Bact.S 0991.JPG,Peach___Bacterial_spot,0.0644,mild,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\819a918b-6982-4840-87aa-8bce089575b0___UF.GRC_YLCV_Lab 01839.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.1333,mild,
data/PlantVillage/raw/color\Apple___Black_rot\39c257ad-8334-45e7-a4e1-f131bb4a7eee___JR_FrgE.S 3023.JPG,Apple___Black_rot,0.0494,healthy,
data/PlantVillage/raw/color\Grape___Esca_(Black_Measles)\c52f348c-1da2-4455-afcb-a99c0cd32c51___FAM_B.Msls 4210.JPG,Grape___Esca_(Black_Measles),0.3616,moderate,
data/PlantVillage/raw/color\Tomato___Tomato_Yellow_Leaf_Curl_Virus\4fea7725-bb98-4e06-a8c4-764e66c809ac___YLCV_GCREC 1966.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0471,healthy,
"data/PlantVillage/raw/color\Pepper,_bell___Bacterial_spot\c66fe682-9e42-4343-a4d4-add4d6244859___NREC_B.Spot 9131.JPG","Pepper,_bell___Bacterial_spot",0.1230,mild,
data/PlantVillage/raw/color\Strawberry___Leaf_scorch\ad5d1c57-162e-49ea-868e-efde59603115___RS_L.Scorch 1401.JPG,Strawberry___Leaf_scorch,0.2805,moderate,
data/PlantVillage/raw/color\Grape___Esca_(Black_Measles)\a2027312-f55d-4e37-8f96-1dd323ae2336___FAM_B.Msls 4095.JPG,Grape___Esca_(Black_Measles),0.0943,mild,
data/PlantVillage/raw/color\Potato___Late_blight\8aab9abd-f5e3-4653-80d9-317bef625ae2___RS_LB 5221.JPG,Potato___Late_blight,0.0383,healthy,
data/PlantVillage/raw/color\Tomato___Leaf_Mold\d76eb906-9957-4572-bf7f-60936f30f8f3___Crnl_L.Mold 8640.JPG,Tomato___Leaf_Mold,0.3470,moderate,
data/PlantVillage/raw/color\Orange___Haunglongbing_(Citrus_greening)\457acd3d-13b8-49ee-9958-6d2a330f11f5___UF.Citrus_HLB_Lab 0370.JPG,Orange___Haunglongbing_(Citrus_greening),0.0433,healthy,
data/PlantVillage/raw/color\Tomato___Septoria_leaf_spot\a4880706-e191-43ff-a5a7-bd0f0c03aa2d___Keller.St_CG 1851.JPG,Tomato___Septoria_leaf_spot,0.6256,severe,
